Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000512690,RPS3A-210,7879.629,39,28596,7840.629,0.9950505283941667,more_multi,HISAT2,HISAT2
ENST00000517671,NPM1-204,9452.46,109,22528,9343.46,0.9884686102876923,more_multi,HISAT2,HISAT2
ENST00000678280,NPM1-229,4441.515,155,19501,4286.515,0.9651019978543357,more_multi,HISAT2,HISAT2
ENST00000676589,NPM1-214,4979.348,237,16559,4742.348,0.9524034070324067,more_multi,HISAT2,HISAT2
ENST00000677357,NPM1-219,8420.211,116,20695,8304.211,0.9862236231372349,more_multi,HISAT2,HISAT2
ENST00000563270,RPL13-211,4729.734,34,11803,4695.734,0.9928114350616758,more_multi,HISAT2,HISAT2
ENST00000508682,RACK1-219,4364.361,45,17386,4319.361,0.9896892122351932,more_multi,HISAT2,HISAT2
ENST00000376817,RACK1-201,4832.447,48,15204,4784.447,0.9900671440369652,more_multi,HISAT2,HISAT2
ENST00000344722,SMC4-201,7640.332,21,37985,7619.332,0.997251428341072,more_multi,HISAT2,HISAT2
ENST00000420959,CORO1C-202,8407.993,4,32129,8403.993,0.99952426221097,more_multi,HISAT2,HISAT2
ENST00000549847,RPL6-206,4731.55,13,16830,4718.55,0.9972524859718274,more_multi,HISAT2,HISAT2
ENST00000532636,HSPA8-218,21775.903,14,83185,21761.903,0.999357087510906,more_multi,HISAT2,HISAT2
ENST00000613412,H4C14-202,5048.781,15,14514,5033.781,0.9970289858086536,more_multi,HISAT2,HISAT2
ENST00000621520,H4C15-203,5023.026,27,14563,4996.026,0.9946247540824993,more_multi,HISAT2,HISAT2
ENST00000679078,KPNA2-220,4962.132,17,14596,4945.132,0.9965740532496918,more_multi,HISAT2,HISAT2
ENST00000584026,KPNA2-207,4846.156,23,14676,4823.156,0.9952539703633148,more_multi,HISAT2,HISAT2
ENST00000579754,KPNA2-203,4728.51,1,14537,4727.51,0.9997885168900986,more_multi,HISAT2,HISAT2
ENST00000678761,HSPD1-222,4376.083,29,14376,4347.083,0.9933730690208572,more_multi,HISAT2,HISAT2
ENST00000409468,HSPE1-202,6765.686,361,8054,6404.686,0.9466425134125349,more_multi,HISAT2,HISAT2
ENST00000439383,PSMD2-206,3990.333,4,28209,3986.333,0.9989975773951698,more_multi,HISAT2,HISAT2
ENST00000550856,RPLP0-218,4033.368,130,16629,3903.368,0.9677688720691987,more_multi,HISAT2,HISAT2
ENST00000430767,SEC14L1-202,3787.762,152,10401,3635.762,0.9598707627353567,more_multi,HISAT2,HISAT2
ENST00000359671,FN1-206,4457.05,19,20592,4438.05,0.9957370906765686,more_multi,HISAT2,HISAT2
ENST00000681842,ACTG1-225,5985.277,93,19426,5892.277,0.984461872023634,more_multi,HISAT2,HISAT2
ENST00000679480,ACTG1-218,6539.354,43,21522,6496.354,0.9934244269388077,more_multi,HISAT2,HISAT2
ENST00000615544,ACTG1-215,6965.977,44,21635,6921.977,0.9936835852314758,more_multi,HISAT2,HISAT2
ENST00000572105,ACTG1-204,5382.337,53,21456,5329.337,0.9901529763000719,more_multi,HISAT2,HISAT2
